date,concrete driveway,pavers,concrete contractor,paver sealing,stamped concrete,isPartial
2024-02-25,9,57,0,0,0,False
2024-03-03,12,69,0,7,0,False
2024-03-10,20,58,0,0,0,False
2024-03-17,12,70,0,0,0,False
2024-03-24,0,71,0,0,0,False
2024-03-31,8,75,0,0,0,False
2024-04-07,8,79,0,0,0,False
2024-04-14,8,77,0,0,0,False
2024-04-21,10,81,0,0,0,False
2024-04-28,0,95,0,0,0,False
2024-05-05,8,81,0,0,0,False
2024-05-12,0,59,0,0,0,False
2024-05-19,11,77,0,0,0,False
2024-05-26,8,78,0,0,0,False
2024-06-02,8,65,0,0,0,False
2024-06-09,0,70,0,0,0,False
2024-06-16,11,72,0,0,0,False
2024-06-23,0,68,0,0,0,False
2024-06-30,10,77,0,8,0,False
2024-07-07,0,63,0,0,0,False
2024-07-14,8,57,0,0,0,False
2024-07-21,0,61,0,0,0,False
2024-07-28,0,65,0,0,0,False
2024-08-04,0,53,0,0,0,False
2024-08-11,7,55,0,0,8,False
2024-08-18,0,46,0,0,0,False
2024-08-25,0,66,0,0,0,False
2024-09-01,8,55,0,0,0,False
2024-09-08,0,59,0,0,0,False
2024-09-15,13,64,0,0,0,False
2024-09-22,0,45,0,0,0,False
2024-09-29,0,39,0,0,0,False
2024-10-06,11,37,0,0,0,False
2024-10-13,0,72,0,0,0,False
2024-10-20,8,54,0,0,0,False
2024-10-27,9,67,0,0,0,False
2024-11-03,0,72,0,0,0,False
2024-11-10,11,82,0,0,0,False
2024-11-17,0,64,0,0,0,False
2024-11-24,8,44,0,0,0,False
2024-12-01,0,42,0,0,0,False
2024-12-08,11,51,0,0,0,False
2024-12-15,0,41,0,0,0,False
2024-12-22,0,41,0,0,0,False
2024-12-29,9,58,0,0,0,False
2025-01-05,8,53,0,0,0,False
2025-01-12,9,54,0,0,0,False
2025-01-19,0,49,0,0,0,False
2025-01-26,12,57,0,0,0,False
2025-02-02,10,67,0,0,0,False
2025-02-09,8,67,0,0,0,False
2025-02-16,0,67,0,0,0,False
2025-02-23,0,68,0,0,0,False
2025-03-02,11,72,0,0,0,False
2025-03-09,0,80,0,0,0,False
2025-03-16,12,55,0,0,0,False
2025-03-23,8,72,0,7,0,False
2025-03-30,0,72,0,0,0,False
2025-04-06,10,73,0,0,0,False
2025-04-13,0,70,0,0,0,False
2025-04-20,10,64,0,0,0,False
2025-04-27,7,87,0,0,0,False
2025-05-04,13,77,0,0,0,False
2025-05-11,9,80,0,0,0,False
2025-05-18,0,84,0,0,0,False
2025-05-25,8,71,0,0,0,False
2025-06-01,0,84,0,0,0,False
2025-06-08,9,77,0,0,0,False
2025-06-15,9,69,0,0,0,False
2025-06-22,9,72,0,0,0,False
2025-06-29,0,63,10,0,0,False
2025-07-06,18,75,0,11,0,False
2025-07-13,0,61,0,8,0,False
2025-07-20,0,64,0,10,0,False
2025-07-27,14,65,0,14,0,False
2025-08-03,10,65,0,16,0,False
2025-08-10,10,73,0,14,0,False
2025-08-17,9,67,0,10,0,False
2025-08-24,13,55,0,11,0,False
2025-08-31,0,67,0,15,0,False
2025-09-07,11,75,0,15,0,False
2025-09-14,12,60,0,13,0,False
2025-09-21,10,66,0,0,0,False
2025-09-28,7,61,0,9,0,False
2025-10-05,0,60,0,0,0,False
2025-10-12,0,69,0,9,0,False
2025-10-19,10,61,0,13,0,False
2025-10-26,10,64,0,0,0,False
2025-11-02,9,74,0,0,0,False
2025-11-09,0,69,0,9,0,False
2025-11-16,9,65,0,9,0,False
2025-11-23,0,45,0,0,0,False
2025-11-30,8,55,0,0,0,False
2025-12-07,0,45,0,0,0,False
2025-12-14,0,38,0,7,0,False
2025-12-21,0,46,0,0,0,False
2025-12-28,0,40,0,0,0,False
2026-01-04,9,53,0,0,0,False
2026-01-11,9,68,0,0,0,False
2026-01-18,0,53,0,0,0,False
2026-01-25,7,40,8,10,0,False
2026-02-01,9,44,0,0,0,False
2026-02-08,8,52,0,0,0,False
2026-02-15,11,60,0,0,0,False
2026-02-22,9,57,0,0,0,False
2026-03-01,10,68,0,10,0,False
2026-03-08,14,80,0,0,0,False
2026-03-15,9,68,0,10,0,False
2026-03-22,11,80,0,11,0,False
2026-03-29,0,80,0,12,0,False
2026-04-05,14,77,0,12,0,False
2026-04-12,14,97,0,11,0,False
2026-04-19,0,100,0,11,8,False
2026-04-26,11,89,0,12,0,False
2026-05-03,17,77,0,11,0,False
2026-05-10,20,87,0,8,0,False
2026-05-17,10,91,0,12,0,False
2026-05-24,15,100,0,13,0,False
2026-05-31,13,91,0,10,0,False
2026-06-07,15,88,0,0,0,False
2026-06-14,13,80,7,10,10,False
2026-06-21,0,70,0,9,0,False
2026-06-28,14,74,0,10,0,False
2026-07-05,13,68,7,0,7,False
2026-07-12,14,68,0,16,0,False
2026-07-19,10,71,0,11,0,False
2026-07-26,11,58,0,0,0,False
2026-08-02,10,63,17,9,0,False
2026-08-09,11,72,0,8,0,False
2026-08-16,15,72,0,9,0,False
2026-08-23,4,66,1,3,1,False
2026-08-30,8,60,4,6,2,False
2026-09-06,6,62,3,6,2,True
