date,concrete contractor,pavers,concrete driveway,paver sealing,stamped concrete,isPartial
2023-04-23,0,79,7,0,0,False
2023-04-30,0,76,11,0,0,False
2023-05-07,0,73,14,0,0,False
2023-05-14,0,83,12,0,0,False
2023-05-21,0,71,9,0,0,False
2023-05-28,0,72,11,0,0,False
2023-06-04,0,80,0,0,0,False
2023-06-11,0,75,12,0,0,False
2023-06-18,0,63,0,0,0,False
2023-06-25,0,66,8,0,0,False
2023-07-02,0,63,0,0,0,False
2023-07-09,0,61,0,0,0,False
2023-07-16,0,55,7,0,0,False
2023-07-23,0,58,9,0,0,False
2023-07-30,0,56,0,0,0,False
2023-08-06,0,58,8,0,0,False
2023-08-13,0,51,0,0,0,False
2023-08-20,0,63,9,0,0,False
2023-08-27,0,52,8,0,0,False
2023-09-03,0,57,0,0,0,False
2023-09-10,0,54,8,0,0,False
2023-09-17,0,60,0,0,0,False
2023-09-24,0,53,7,0,0,False
2023-10-01,0,56,0,0,0,False
2023-10-08,0,62,9,0,0,False
2023-10-15,0,68,12,0,0,False
2023-10-22,0,59,10,0,0,False
2023-10-29,0,70,12,0,0,False
2023-11-05,0,63,12,0,0,False
2023-11-12,0,46,9,0,0,False
2023-11-19,0,39,7,0,0,False
2023-11-26,0,48,0,0,0,False
2023-12-03,0,55,0,0,0,False
2023-12-10,0,46,9,0,0,False
2023-12-17,0,39,0,0,0,False
2023-12-24,0,33,0,0,0,False
2023-12-31,0,39,8,0,0,False
2024-01-07,0,51,0,0,0,False
2024-01-14,0,39,0,0,0,False
2024-01-21,0,50,9,0,0,False
2024-01-28,0,58,0,0,7,False
2024-02-04,0,60,0,0,0,False
2024-02-11,0,54,8,0,0,False
2024-02-18,0,59,9,0,0,False
2024-02-25,0,57,9,0,0,False
2024-03-03,0,69,12,7,0,False
2024-03-10,0,58,20,0,0,False
2024-03-17,0,70,12,0,0,False
2024-03-24,0,71,0,0,0,False
2024-03-31,0,75,8,0,0,False
2024-04-07,0,79,8,0,0,False
2024-04-14,0,77,8,0,0,False
2024-04-21,0,81,10,0,0,False
2024-04-28,0,95,0,0,0,False
2024-05-05,0,81,8,0,0,False
2024-05-12,0,59,0,0,0,False
2024-05-19,0,77,11,0,0,False
2024-05-26,0,78,8,0,0,False
2024-06-02,0,65,8,0,0,False
2024-06-09,0,70,0,0,0,False
2024-06-16,0,72,11,0,0,False
2024-06-23,0,68,0,0,0,False
2024-06-30,0,77,10,8,0,False
2024-07-07,0,63,0,0,0,False
2024-07-14,0,57,8,0,0,False
2024-07-21,0,61,0,0,0,False
2024-07-28,0,65,0,0,0,False
2024-08-04,0,53,0,0,0,False
2024-08-11,0,55,7,0,8,False
2024-08-18,0,46,0,0,0,False
2024-08-25,0,66,0,0,0,False
2024-09-01,0,55,8,0,0,False
2024-09-08,0,59,0,0,0,False
2024-09-15,0,64,13,0,0,False
2024-09-22,0,45,0,0,0,False
2024-09-29,0,39,0,0,0,False
2024-10-06,0,37,11,0,0,False
2024-10-13,0,72,0,0,0,False
2024-10-20,0,54,8,0,0,False
2024-10-27,0,67,9,0,0,False
2024-11-03,0,72,0,0,0,False
2024-11-10,0,82,11,0,0,False
2024-11-17,0,64,0,0,0,False
2024-11-24,0,44,8,0,0,False
2024-12-01,0,42,0,0,0,False
2024-12-08,0,51,11,0,0,False
2024-12-15,0,41,0,0,0,False
2024-12-22,0,41,0,0,0,False
2024-12-29,0,58,9,0,0,False
2025-01-05,0,53,8,0,0,False
2025-01-12,0,54,9,0,0,False
2025-01-19,0,49,0,0,0,False
2025-01-26,0,57,12,0,0,False
2025-02-02,0,67,10,0,0,False
2025-02-09,0,67,8,0,0,False
2025-02-16,0,67,0,0,0,False
2025-02-23,0,68,0,0,0,False
2025-03-02,0,72,11,0,0,False
2025-03-09,0,80,0,0,0,False
2025-03-16,0,55,12,0,0,False
2025-03-23,0,72,8,7,0,False
2025-03-30,0,72,0,0,0,False
2025-04-06,0,73,10,0,0,False
2025-04-13,0,70,0,0,0,False
2025-04-20,0,64,10,0,0,False
2025-04-27,0,87,7,0,0,False
2025-05-04,0,77,13,0,0,False
2025-05-11,0,80,9,0,0,False
2025-05-18,0,84,0,0,0,False
2025-05-25,0,71,8,0,0,False
2025-06-01,0,84,0,0,0,False
2025-06-08,0,77,9,0,0,False
2025-06-15,0,69,9,0,0,False
2025-06-22,0,72,9,0,0,False
2025-06-29,10,63,0,0,0,False
2025-07-06,0,75,18,11,0,False
2025-07-13,0,61,0,8,0,False
2025-07-20,0,64,0,10,0,False
2025-07-27,0,65,14,14,0,False
2025-08-03,0,65,10,16,0,False
2025-08-10,0,73,10,14,0,False
2025-08-17,0,67,9,10,0,False
2025-08-24,0,55,13,11,0,False
2025-08-31,0,67,0,15,0,False
2025-09-07,0,75,11,15,0,False
2025-09-14,0,60,12,13,0,False
2025-09-21,0,66,10,0,0,False
2025-09-28,0,61,7,9,0,False
2025-10-05,0,60,0,0,0,False
2025-10-12,0,69,0,9,0,False
2025-10-19,0,61,10,13,0,False
2025-10-26,0,64,10,0,0,False
2025-11-02,0,74,9,0,0,False
2025-11-09,0,69,0,9,0,False
2025-11-16,0,65,9,9,0,False
2025-11-23,0,45,0,0,0,False
2025-11-30,0,55,8,0,0,False
2025-12-07,0,45,0,0,0,False
2025-12-14,0,38,0,7,0,False
2025-12-21,0,46,0,0,0,False
2025-12-28,0,40,0,0,0,False
2026-01-04,0,53,9,0,0,False
2026-01-11,0,68,9,0,0,False
2026-01-18,0,53,0,0,0,False
2026-01-25,8,40,7,10,0,False
2026-02-01,0,44,9,0,0,False
2026-02-08,0,52,8,0,0,False
2026-02-15,0,60,11,0,0,False
2026-02-22,0,57,9,0,0,False
2026-03-01,0,68,10,10,0,False
2026-03-08,0,80,14,0,0,False
2026-03-15,0,68,9,10,0,False
2026-03-22,0,80,11,11,0,False
2026-03-29,0,80,0,12,0,False
2026-04-05,0,77,14,12,0,False
2026-04-12,0,97,14,11,0,False
2026-04-19,0,100,0,11,8,False
2026-04-26,0,89,11,12,0,False
2026-05-03,0,77,17,11,0,False
2026-05-10,0,87,20,8,0,False
2026-05-17,0,91,10,12,0,False
2026-05-24,0,100,15,13,0,False
2026-05-31,0,91,13,10,0,False
2026-06-07,0,88,15,0,0,False
2026-06-14,7,80,13,10,10,False
2026-06-21,0,70,0,9,0,False
2026-06-28,0,74,14,10,0,False
2026-07-05,7,68,13,0,7,False
2026-07-12,0,68,14,16,0,False
2026-07-19,0,71,10,11,0,False
2026-07-26,0,58,11,0,0,False
2026-08-02,17,63,10,9,0,False
2026-08-09,0,72,11,8,0,False
2026-08-16,0,72,15,9,0,False
2026-08-23,1,66,4,3,1,False
2026-08-30,4,60,8,6,2,False
2026-09-06,3,62,6,6,2,True
